                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.01793,                0.99663,                      1,                0.55726,              0.0036145,              0.0036145,              0.0036145
                    132,                0.01528,                0.99663,                      1,                0.55749,               0.003565,               0.003565,               0.003565
                    133,                0.01526,                0.99663,                      1,                0.55782,              0.0035155,              0.0035155,              0.0035155
                    134,                0.01239,                0.99663,                      1,                0.56065,               0.003466,               0.003466,               0.003466
                    135,                 0.0158,                0.99663,                      1,                0.55754,              0.0034165,              0.0034165,              0.0034165
                    136,                0.01397,                0.99663,                      1,                0.55808,               0.003367,               0.003367,               0.003367
                    137,                0.01592,                0.99663,                      1,                0.55847,              0.0033175,              0.0033175,              0.0033175
                    138,                 0.0118,                0.99327,                      1,                0.55888,               0.003268,               0.003268,               0.003268
                    139,                0.01078,                0.99327,                      1,                0.55918,              0.0032185,              0.0032185,              0.0032185
                    140,                0.01338,                0.99327,                      1,                0.55942,               0.003169,               0.003169,               0.003169
                    141,                0.00984,                0.99327,                      1,                0.55926,              0.0031195,              0.0031195,              0.0031195
                    142,                 0.0143,                0.99327,                      1,                0.55865,                0.00307,                0.00307,                0.00307
                    143,                0.01442,                0.99663,                      1,                0.55875,              0.0030205,              0.0030205,              0.0030205
                    144,                0.01446,                0.99663,                      1,                0.55787,               0.002971,               0.002971,               0.002971
                    145,                 0.0158,                0.99663,                      1,                0.55777,              0.0029215,              0.0029215,              0.0029215
                    146,                0.01321,                0.99663,                      1,                0.55769,               0.002872,               0.002872,               0.002872
                    147,                0.01462,                0.99663,                      1,                0.55762,              0.0028225,              0.0028225,              0.0028225
                    148,                0.01017,                0.99663,                      1,                0.55775,               0.002773,               0.002773,               0.002773
                    149,                0.00841,                0.99663,                      1,                0.55803,              0.0027235,              0.0027235,              0.0027235
                    150,                0.00954,                0.99663,                      1,                0.55721,               0.002674,               0.002674,               0.002674
                    151,                0.01347,                0.99663,                      1,                0.55715,              0.0026245,              0.0026245,              0.0026245
                    152,                0.01306,                0.99663,                      1,                0.55715,               0.002575,               0.002575,               0.002575
                    153,                 0.0102,                0.99663,                      1,                0.55718,              0.0025255,              0.0025255,              0.0025255
                    154,                0.01678,                0.99663,                      1,                0.55695,               0.002476,               0.002476,               0.002476
                    155,                0.00996,                0.99663,                      1,                0.55656,              0.0024265,              0.0024265,              0.0024265
                    156,                0.01326,                0.99663,                      1,                0.55651,               0.002377,               0.002377,               0.002377
                    157,                0.01012,                0.99663,                      1,                0.55723,              0.0023275,              0.0023275,              0.0023275
                    158,                0.01038,                0.99663,                      1,                0.55628,               0.002278,               0.002278,               0.002278
                    159,                0.01321,                0.99663,                      1,                0.55628,              0.0022285,              0.0022285,              0.0022285
                    160,                 0.0103,                0.99663,                      1,                0.55618,               0.002179,               0.002179,               0.002179
                    161,                0.00747,                0.99663,                      1,                0.55628,              0.0021295,              0.0021295,              0.0021295
                    162,                0.01058,                0.99663,                      1,                0.55628,                0.00208,                0.00208,                0.00208
                    163,                0.00924,                0.99663,                      1,                0.55638,              0.0020305,              0.0020305,              0.0020305
                    164,                0.00739,                0.99663,                      1,                0.55649,               0.001981,               0.001981,               0.001981
                    165,                0.00788,                0.99663,                      1,                0.55654,              0.0019315,              0.0019315,              0.0019315
                    166,                0.00727,                0.99663,                      1,                0.55661,               0.001882,               0.001882,               0.001882
                    167,                0.00943,                0.99663,                      1,                0.55672,              0.0018325,              0.0018325,              0.0018325
                    168,                 0.0063,                0.99663,                      1,                0.55741,               0.001783,               0.001783,               0.001783
                    169,                0.00751,                0.99663,                      1,                0.55674,              0.0017335,              0.0017335,              0.0017335
